Applicant_ID,Applicant_Income,Coapplicant_Income,Employment_Status,Age,Marital_Status,Dependents,Credit_Score,Existing_Loans,DTI_Ratio,Savings,Collateral_Value,Loan_Amount,Loan_Term,Loan_Purpose,Property_Area,Education_Level,Gender,Employer_Category,Loan_Approved
232,14757,2736,Unemployed,21,Married,3,661,4,0.55,4784,5974,28898,48,Home,Urban,Not Graduate,Male,MNC,No
233,19429,1913,Unemployed,43,Single,3,640,3,0.23,15185,10928,2919,24,Business,Semiurban,Graduate,Female,MNC,No
234,8893,9788,Contract,59,Married,,637,1,,9024,21213,32171,72,Home,Urban,Graduate,Female,Private,No
235,16373,7657,Salaried,37,Single,,712,3,0.55,14674,1950,21599,84,Personal,Rural,Not Graduate,,Private,No
236,16565,2466,Salaried,54,Single,0,723,4,0.55,17845,19477,17965,12,Home,Urban,Graduate,Male,MNC,No
237,5436,9041,Salaried,49,Married,3,719,4,0.44,11708,10411,15434,60,Personal,Urban,Graduate,Female,Private,No
238,10754,7312,Salaried,29,Married,0,795,,0.53,1159,21695,37649,72,Home,Rural,Graduate,,Government,No
239,12677,8194,Salaried,33,Married,0,716,0,0.14,386,46156,2999,60,Car,Semiurban,Not Graduate,Female,Government,Yes
240,7895,7906,Unemployed,26,,1,639,1,0.53,7192,17771,15849,84,,Urban,Graduate,Male,Private,No
241,18609,4876,Salaried,26,Married,,598,0,0.26,10745,4274,11903,60,Personal,Urban,Not Graduate,Male,Private,No
242,17636,7287,Salaried,40,Single,1,739,2,0.19,9910,35053,6445,60,Home,Urban,Graduate,Male,MNC,Yes
243,,892,Salaried,23,Single,0,587,,0.22,3409,7045,36396,36,Home,Urban,Graduate,Male,Business,No
244,11151,,,37,Married,2,700,3,0.31,17073,29714,19040,48,Home,Urban,Graduate,Female,Government,Yes
245,7600,1933,Salaried,32,Single,3,699,4,0.23,13180,34386,1246,24,Personal,Rural,Graduate,Male,Unemployed,Yes
246,9996,1380,Salaried,21,Married,1,681,2,0.26,17336,43747,32153,,Home,Semiurban,Graduate,Female,Private,Yes
247,11007,1290,Salaried,37,Married,3,726,1,0.17,6142,8562,6212,12,Business,Urban,Graduate,Female,Private,Yes
248,14946,1640,Contract,23,Married,1,608,0,0.25,5967,27759,4339,36,Business,Rural,Not Graduate,Female,MNC,No
249,6642,7490,Unemployed,46,Single,1,750,4,0.39,7205,12026,24142,72,Personal,Urban,Graduate,Male,MNC,Yes
250,13312,9179,Salaried,35,Single,1,617,0,0.32,16006,,20394,72,Car,Urban,Not Graduate,Female,Government,No
251,9679,1218,Salaried,56,Single,2,748,1,0.27,12109,31589,36136,24,Business,Urban,Not Graduate,,Unemployed,Yes
252,10208,5016,Contract,52,Married,0,764,1,0.47,13034,42663,13186,48,Education,Rural,Not Graduate,Male,,No
253,12716,6881,Salaried,52,Married,1,679,2,0.55,2484,,,60,Business,Urban,Not Graduate,Female,Private,No
254,19453,9547,,24,Married,2,598,3,0.48,1854,26844,39973,84,Education,Urban,,Male,Private,No
255,5444,9752,Contract,38,Married,,,0,0.27,11631,23447,5395,12,Personal,Urban,Graduate,Female,MNC,Yes
256,12757,9610,Salaried,39,Single,0,781,2,0.47,19615,24879,16290,48,Car,Urban,Not Graduate,Male,Private,No
257,16434,954,Self-employed,55,Single,1,796,4,0.18,2597,11966,23151,24,Education,,Not Graduate,Female,Private,Yes
258,3060,9175,Self-employed,34,Single,2,675,3,0.17,7829,17732,4691,36,Education,Semiurban,Not Graduate,Male,MNC,Yes
259,5420,7291,Salaried,53,Married,0,,2,0.27,8186,5289,8470,12,Business,Rural,Graduate,Female,Government,Yes
260,2301,974,Salaried,34,Married,2,788,0,0.5,3983,20012,4841,24,Education,,Graduate,Female,Government,No
261,14468,4133,Contract,54,Married,0,708,1,0.22,6684,18812,38116,72,Personal,Urban,Graduate,Male,Private,Yes
262,18990,5370,Salaried,24,Married,0,660,4,0.13,10383,35801,18776,12,Personal,Urban,Not Graduate,Male,Business,Yes
263,,3972,Salaried,44,Married,3,717,0,0.17,17040,41628,7060,24,Personal,Urban,Graduate,Female,Government,Yes
264,2190,5295,Contract,49,Single,3,597,3,0.53,12004,40581,28584,72,Business,Urban,Graduate,,Private,
265,12492,9105,Self-employed,39,,3,600,,0.42,12103,46628,5300,84,Car,Rural,Graduate,Male,Private,No
266,19364,8228,Salaried,26,Married,0,592,1,0.23,6312,23092,4338,72,Business,Urban,Graduate,Male,Government,No
267,4975,9903,Contract,53,Married,,647,1,0.38,7938,25105,6487,,Personal,Urban,Graduate,Female,Unemployed,No
268,8102,3020,Salaried,39,Married,2,732,4,0.36,9954,14294,,36,Business,Rural,Not Graduate,,Unemployed,Yes
269,19568,8987,,21,Married,2,765,4,0.43,19669,3621,30529,60,Personal,Urban,Not Graduate,Female,Private,No
270,3816,4036,Contract,25,Single,,726,1,0.22,9777,32442,31262,24,Home,,,Female,Business,No
271,2569,5068,Self-employed,,Married,,673,1,0.53,3563,21699,12280,84,Home,Urban,Graduate,Female,MNC,No
,,5233,Salaried,36,Married,0,767,3,0.25,5041,49906,29804,48,Education,Rural,Not Graduate,Male,MNC,Yes
,3895,9516,Unemployed,26,Married,3,629,1,0.45,11292,2347,10915,84,Car,Urban,Graduate,Male,,No
274,5863,317,Salaried,33,Single,1,734,2,0.11,8026,29486,12158,84,Home,Semiurban,Not Graduate,Male,Private,Yes
275,14913,2396,Contract,55,,0,660,0,0.29,13923,47650,9621,84,Personal,Urban,Graduate,Female,MNC,Yes
276,9455,,Salaried,39,Married,2,754,1,0.28,19628,17110,11547,,,Rural,Graduate,Female,Private,Yes
277,6014,2745,Salaried,32,Married,3,692,4,0.37,17424,4923,24177,48,Business,Urban,Graduate,,Private,Yes
278,13093,1591,Salaried,36,Single,3,576,2,0.14,18657,15611,3459,72,Education,Rural,Not Graduate,Female,Business,No
,5009,6183,Unemployed,30,Single,1,745,4,0.5,3629,48135,29768,24,Business,Urban,Graduate,Male,Unemployed,No
280,18538,3930,Unemployed,45,Married,1,757,2,0.21,2114,19199,39041,,Home,Urban,Graduate,,Private,Yes
281,12729,1312,Salaried,40,Single,3,741,1,0.44,1677,9066,39191,48,Business,Semiurban,Graduate,Male,Business,No
282,3409,9477,Salaried,51,Single,1,771,0,0.5,3094,36047,18434,24,Home,Semiurban,Graduate,Male,Private,No
283,14249,4311,Contract,24,Single,2,785,4,0.38,2284,26754,39247,48,Home,Urban,Graduate,Female,MNC,Yes
284,,7314,Salaried,43,Single,1,707,2,0.47,5052,36575,16419,60,Car,Semiurban,Graduate,Female,Government,No
285,10096,2383,Salaried,22,Single,1,713,3,0.43,17973,24260,36017,24,Education,Urban,Graduate,Male,Private,No
286,9560,,,42,Married,3,744,1,0.28,18904,46733,36577,60,Personal,Semiurban,Graduate,Male,Private,Yes
287,14533,2139,Self-employed,57,Single,3,763,0,0.5,12047,48891,3921,12,Home,Rural,Graduate,,Government,No
288,9343,1704,Unemployed,28,Married,0,662,1,0.25,694,16991,5676,24,Education,Urban,Graduate,Female,Private,Yes
289,9206,6924,Salaried,27,Single,0,635,3,0.39,15588,22553,21425,48,Personal,Semiurban,Graduate,Female,Private,No
290,7801,362,Salaried,34,Married,3,663,0,0.47,13055,24174,36185,,Business,,Graduate,Male,Business,No
291,18921,2604,Self-employed,23,Single,1,798,3,0.29,16080,21957,,60,Education,Urban,Graduate,Female,Government,
292,7986,9908,Contract,36,Single,1,791,1,0.25,6704,634,26474,,Education,Rural,Graduate,Female,Business,Yes
293,12647,4286,Self-employed,39,Married,0,796,2,0.33,7368,29881,2469,48,Education,Urban,Graduate,Female,Private,Yes
294,10716,3738,Self-employed,38,Single,0,673,1,0.51,1971,12771,8292,,Business,Semiurban,,Female,Business,
295,14323,2469,Salaried,36,Married,0,598,1,0.56,14593,18298,26409,84,Business,Rural,Graduate,Male,,No
296,6780,4795,Contract,28,Single,2,625,1,0.37,8055,14340,24526,72,Education,Urban,Graduate,Male,Private,No
297,4368,6150,Salaried,53,,2,604,4,0.43,11441,33356,24465,36,Car,Rural,Graduate,Female,Government,No
298,14039,556,Salaried,,Married,0,762,3,0.55,14677,35999,31955,48,Home,Rural,Not Graduate,,Private,No
299,8655,,,31,Single,1,605,3,0.15,1868,6351,27785,60,Business,Rural,Not Graduate,Female,MNC,No
300,10173,2808,Salaried,25,Married,0,745,3,0.22,18055,3838,22033,24,Car,Urban,Graduate,Male,Business,Yes
301,6495,5150,Salaried,47,Single,2,644,4,0.45,1728,1973,7931,12,Business,Urban,Graduate,Male,Government,No
302,12893,7561,Contract,32,Married,1,593,2,0.51,7632,47114,2091,72,Education,Rural,Not Graduate,Male,Private,No
,15403,2719,Salaried,37,Married,2,708,1,,12043,37812,26772,36,Car,Urban,Not Graduate,Female,Private,No
304,15121,6506,Contract,26,Married,1,735,2,0.31,6403,10247,17363,24,Personal,Urban,Graduate,Male,Government,Yes
305,12966,3741,Salaried,53,Married,2,636,4,0.14,15732,44440,29490,,Home,Rural,Graduate,Female,Business,No
306,2853,9766,Contract,25,Married,1,795,3,0.32,18526,31655,,72,Home,Urban,Graduate,Male,Private,Yes
307,,3998,Salaried,48,Married,1,730,1,0.22,9340,43039,11456,48,Business,Rural,Graduate,Female,Private,Yes
308,19532,2403,Salaried,34,,1,633,0,0.25,6184,6683,23320,72,Home,Rural,Graduate,,Private,No
309,11907,8780,Unemployed,25,Married,1,756,0,0.49,253,11244,14435,,Personal,Rural,Graduate,Male,Government,No
310,6777,9739,Contract,53,Single,3,700,2,0.14,4102,29058,28025,84,Car,Urban,Not Graduate,Female,Private,Yes
311,,294,Salaried,39,Single,2,705,3,,3542,39551,29109,12,Car,Urban,Graduate,Male,Government,
312,4491,,Salaried,,,2,565,0,0.31,19159,38362,21754,72,Education,Urban,Graduate,Male,Private,No
313,,9882,Contract,25,Single,,714,2,0.4,6212,28371,5301,36,Car,Semiurban,Graduate,Female,Government,
314,16599,1136,Self-employed,22,Married,1,698,4,0.14,4637,3822,8207,72,Business,Urban,Graduate,Male,,Yes
315,5051,2064,Contract,50,Single,1,756,2,,11525,28878,28920,12,Personal,Semiurban,Graduate,Male,Business,
316,17979,7009,Contract,59,Single,2,694,2,0.14,11471,36157,23203,24,Education,Rural,Graduate,Male,Private,Yes
317,18388,4543,Salaried,24,Single,3,791,2,0.58,12500,5914,22545,24,Business,Semiurban,Graduate,Male,Private,No
318,2876,1007,Salaried,53,Married,1,586,1,0.5,15247,18164,25016,72,Business,Urban,Graduate,Male,Government,No
319,6142,5445,Self-employed,33,Single,1,,2,0.33,10532,27180,32098,72,,Urban,Not Graduate,Male,Private,No
320,17202,5352,Salaried,40,Married,,696,2,0.21,13518,3688,9556,48,Home,Semiurban,Graduate,Female,Private,Yes
321,,9439,Salaried,27,Single,0,707,1,0.57,6476,14683,21102,12,,Urban,Graduate,Male,MNC,No
322,9079,1435,Unemployed,35,Married,3,594,1,0.27,19532,13080,39893,48,Home,Urban,Graduate,Female,MNC,No
323,9987,571,Self-employed,43,Single,1,695,4,0.18,19743,30953,2924,36,Car,Urban,Graduate,Male,Private,Yes
324,,2382,Contract,34,Single,0,755,3,0.38,1004,9916,20479,84,,Semiurban,Graduate,Male,MNC,Yes
325,6465,9437,,43,Single,3,611,0,0.57,10286,29677,19922,24,Business,Rural,Graduate,Male,Government,
326,19019,5084,Self-employed,39,Married,1,713,0,0.1,4717,27360,19660,60,Personal,Rural,Graduate,Female,Private,Yes
327,15417,277,Salaried,49,Single,2,649,2,0.22,3271,37805,10945,60,,Rural,Graduate,Female,Unemployed,No
328,10311,7059,Salaried,40,Married,0,761,4,0.57,12714,13453,1306,12,Car,Urban,Not Graduate,Female,MNC,No
329,19214,1887,Salaried,49,,0,,2,0.19,209,22703,23959,12,Business,Rural,Graduate,Male,Unemployed,No
330,16098,1265,,44,Married,1,568,0,0.16,5539,8640,5231,60,Home,Urban,Graduate,Female,Private,No
331,7177,7491,Contract,38,,1,,1,0.39,16537,29263,39796,,Personal,Semiurban,Graduate,Female,Private,No
332,16262,1040,Salaried,30,Married,0,593,3,0.53,19977,32849,13207,24,Education,Urban,Not Graduate,Male,Government,No
333,10308,9109,Salaried,28,Married,2,556,4,0.34,8606,,7336,36,Business,Urban,Graduate,Male,Business,No
334,7949,8073,Salaried,46,Married,2,798,,0.6,11616,16078,10630,36,Business,,Graduate,Male,Private,No
335,3150,9077,Salaried,49,Married,3,721,,0.44,1284,23383,18256,48,Education,Urban,Not Graduate,Female,MNC,No
336,3931,2752,Salaried,30,Married,1,666,4,0.14,3148,15536,34909,24,Personal,Rural,,Male,Government,No
337,11204,8213,Salaried,37,Single,2,617,4,0.6,768,7410,34719,84,,Urban,Graduate,Female,Government,No
338,3081,4569,Salaried,22,Single,3,583,,0.3,5607,15926,31013,12,Car,Urban,Graduate,Male,Business,No
339,18896,6353,Salaried,26,Married,2,743,1,0.24,19586,48268,15455,12,Home,Urban,,Male,Business,Yes
340,15407,2353,Salaried,25,Married,1,618,4,0.38,19171,34248,5722,84,Home,Rural,Not Graduate,Male,Private,No
341,9805,7437,Contract,48,Married,3,604,,0.25,18594,31159,13812,48,Personal,Urban,Not Graduate,Male,Unemployed,No
342,7237,4799,Salaried,25,Married,3,559,3,0.14,7399,,31276,48,Education,Rural,Not Graduate,Male,Private,No
343,18943,686,Salaried,38,Single,3,773,0,0.1,358,36366,37776,12,Business,,Not Graduate,Male,Private,Yes
344,14775,8476,Self-employed,46,Single,2,591,2,0.32,849,47800,11060,12,Business,Urban,Graduate,Female,MNC,No
345,18244,4811,Salaried,40,Married,,590,0,0.52,7498,40761,14056,84,Business,Urban,Not Graduate,Male,Unemployed,No
346,15184,8954,Contract,47,Married,3,754,2,0.39,4522,29090,7655,24,Car,Semiurban,Graduate,Male,MNC,
347,5343,5346,,32,Married,0,780,1,,18928,20567,23574,84,Car,Rural,Graduate,Male,MNC,No
348,15500,5043,Salaried,27,Single,1,746,1,0.24,12773,43663,14027,48,Business,Urban,Graduate,Male,Business,Yes
349,11662,2428,Self-employed,23,Single,0,,,0.24,18215,15367,5030,84,Personal,Rural,Graduate,Male,Unemployed,Yes
350,,5126,Salaried,30,Married,0,687,1,0.18,,40412,25243,84,,Semiurban,Not Graduate,Male,Private,Yes
351,17125,8220,Self-employed,54,Married,3,559,4,0.18,9628,44716,34289,,Car,Urban,Graduate,Male,MNC,
352,10130,9098,Salaried,45,Single,3,651,0,,329,35367,20739,24,Home,Semiurban,Graduate,Male,Business,Yes
353,3679,7813,Contract,55,Single,2,768,1,0.5,5851,5813,35168,72,Home,Urban,Graduate,Female,Private,No
354,5506,9645,Salaried,36,Married,2,737,0,,7032,36621,37491,12,Personal,Semiurban,Not Graduate,Male,Government,No
355,15284,3356,Self-employed,22,Married,2,677,0,0.59,15326,,31013,60,Car,Rural,Graduate,Male,Government,No
,9253,,Self-employed,44,Married,1,728,1,0.22,5266,41190,7579,,Car,Urban,Graduate,Male,,Yes
357,11435,7266,Salaried,30,Married,2,698,0,0.54,4354,40318,19242,60,Education,Urban,Graduate,Male,Private,No
358,13310,6540,Salaried,58,Married,0,685,1,0.26,15082,37018,5781,72,Personal,Semiurban,Graduate,Female,MNC,Yes
359,15296,38,Contract,,Married,2,742,1,0.16,4722,39759,21448,12,Personal,Rural,Graduate,Male,Private,Yes
360,15245,3342,Contract,46,Married,3,641,1,0.54,17772,16498,,48,Education,Rural,Graduate,Male,Government,No
361,,9078,Salaried,,Married,2,662,2,0.42,8911,25989,12043,60,Education,Urban,Not Graduate,Female,MNC,No
362,12457,2844,Contract,47,Single,1,780,0,0.18,3235,37174,20853,48,Home,Urban,Graduate,,Government,Yes
363,4479,1098,Unemployed,49,Married,,627,3,0.31,,25568,21079,60,Personal,Urban,Graduate,Female,Private,No
364,6452,7027,Contract,58,Married,0,634,1,0.24,1100,1041,18101,48,Personal,Urban,Graduate,Female,Private,
365,7881,1823,Salaried,40,Married,1,579,0,0.47,8864,39695,,84,Education,Rural,Graduate,Male,Business,No
366,16069,3155,Contract,47,Married,2,762,4,,8708,49163,29016,60,Business,Semiurban,Graduate,Male,Unemployed,Yes
367,4849,3093,Salaried,40,Single,3,598,1,0.59,18916,30099,19932,48,Business,Rural,Graduate,Male,Unemployed,No
368,9390,5658,Unemployed,39,Married,1,558,1,0.13,17165,24364,,72,Home,Urban,Graduate,Male,Business,No
369,13922,3778,Salaried,40,Married,0,694,3,0.28,14439,40639,8549,24,Business,Rural,Not Graduate,Male,Private,Yes
370,4489,2896,,55,Single,2,618,2,0.34,19907,39143,14397,,Business,Semiurban,Graduate,Male,Private,No
371,11823,988,Contract,22,Married,,607,2,0.35,11750,23482,26362,24,Business,Rural,Graduate,Female,Private,
,,4116,Salaried,50,Single,1,734,1,0.26,9781,3676,34717,24,Car,Rural,Graduate,Male,Private,Yes
373,11540,6446,Unemployed,54,Married,1,611,0,0.46,,45785,24016,12,Home,Semiurban,Graduate,Female,Private,No
374,18364,4179,Unemployed,42,Married,0,772,4,0.54,17885,21781,15732,84,Education,Rural,Graduate,Female,,No
375,6611,1682,Self-employed,23,Married,2,601,4,,11986,,27911,72,Business,Urban,Graduate,Female,Business,No
376,7878,5626,Salaried,26,Married,1,738,0,0.5,12510,3065,18866,24,Car,Urban,Not Graduate,Male,Private,No
377,18347,7424,Self-employed,35,Single,3,589,1,0.53,19464,2036,28621,36,Business,Semiurban,,Male,Business,No
378,2851,933,Salaried,47,Single,1,715,4,0.38,9268,35814,13823,84,Car,,,Female,Unemployed,No
379,8833,3598,Salaried,30,Married,2,720,2,0.51,502,16924,30986,24,Home,Urban,Not Graduate,Female,Business,No
380,13938,1980,Contract,29,Married,1,612,0,0.25,9531,32844,15690,48,Business,Urban,Graduate,Female,,No
381,4427,3056,Salaried,53,Single,0,696,3,0.3,8009,48648,,24,Car,,Not Graduate,,MNC,Yes
382,6000,8984,Salaried,52,Single,1,777,1,0.26,17007,16407,22303,48,Personal,Semiurban,Graduate,Male,Private,Yes
383,7052,791,Unemployed,26,Married,1,599,0,0.33,11542,21518,37533,48,Personal,Urban,Graduate,Male,Private,No
,4738,5390,Salaried,56,Married,2,710,4,0.24,17434,17059,30674,36,Car,Rural,Graduate,Male,Private,No
385,,6635,Salaried,22,Married,0,690,1,0.58,,23052,36595,24,Business,Semiurban,Not Graduate,Female,Private,No
386,10002,2255,Unemployed,49,Single,2,627,2,0.26,13435,4267,3058,24,Business,,Not Graduate,Male,Business,No
387,7536,3610,Salaried,24,Married,1,797,1,0.15,4114,5988,12519,60,Home,Urban,Graduate,,Unemployed,Yes
388,,1607,Contract,21,Married,3,646,1,0.36,13568,27974,32115,84,Home,Semiurban,Graduate,Female,Unemployed,No
389,5913,5179,Unemployed,39,Single,1,739,2,0.13,3367,24036,1730,60,Education,Urban,Graduate,Female,Private,Yes
390,19450,6573,Unemployed,46,Married,2,770,2,0.16,8095,8680,2832,12,Home,Rural,Graduate,Male,Unemployed,Yes
391,12636,984,Self-employed,45,Married,3,592,1,0.21,5141,1485,23889,48,Business,Rural,Graduate,Male,Private,No
392,7726,5776,Salaried,30,Married,2,726,2,0.33,3951,14713,5179,36,Education,Urban,Graduate,Female,,Yes
393,5373,3676,Salaried,35,Married,,585,0,0.32,14887,20043,7299,60,Home,Semiurban,Graduate,Male,Private,No
394,14161,3380,Contract,42,Married,0,671,2,0.5,1573,2419,8830,24,Car,Urban,Graduate,Male,Private,No
395,4082,8711,Contract,41,Married,3,657,2,0.47,13359,48080,38570,12,Personal,Urban,Graduate,Male,Private,No
396,18281,8782,Self-employed,42,Married,1,559,1,0.31,19018,36263,23441,36,Home,Urban,Not Graduate,Male,MNC,No
397,17305,1050,Salaried,56,Married,2,644,0,0.27,2768,17140,7615,72,Home,Urban,Not Graduate,Male,Private,No
398,11817,,Salaried,54,Single,1,555,3,0.26,5302,43484,7762,24,Car,Semiurban,Graduate,Female,Private,No
399,13261,6342,Salaried,50,Single,0,606,3,0.49,13746,45210,39311,24,Business,Rural,,Female,Unemployed,No
400,2417,959,Contract,45,Married,0,678,4,0.13,1211,12961,25709,72,Car,Semiurban,Graduate,Female,,No
401,10808,6059,Salaried,48,Married,3,620,2,0.11,15445,43075,,48,Home,Urban,Not Graduate,Male,,
402,5267,,Unemployed,21,Married,0,735,,0.5,15815,6487,24434,48,Business,Rural,Graduate,Female,Business,No
403,19209,5655,Contract,,Married,0,768,0,0.34,1160,31110,22343,60,Education,Rural,Graduate,Female,Private,Yes
404,,4473,Salaried,27,Married,1,570,3,0.17,7041,42432,16739,60,Home,Semiurban,Not Graduate,Female,Private,No
405,13338,2946,Self-employed,,Single,0,641,4,0.22,18767,16360,1666,24,Car,Rural,Graduate,Female,Government,No
406,2412,7725,Salaried,56,Married,0,676,0,0.57,10846,49410,34044,84,Education,Urban,Not Graduate,Female,Government,No
407,9543,526,Self-employed,39,Married,2,629,2,0.53,5876,36843,28883,24,,Urban,Not Graduate,,Government,No
408,9587,3224,Contract,21,Married,0,605,3,0.45,19924,24882,15063,60,,Urban,Not Graduate,Female,Government,No
409,2728,1875,Contract,30,Single,2,787,4,0.34,12889,17502,34649,72,Car,Rural,Graduate,Male,Government,No
410,13657,1763,Contract,56,Married,0,764,1,0.36,13882,48053,35828,60,Education,Semiurban,Graduate,Male,Business,Yes
411,7988,,Salaried,29,Single,0,665,3,0.59,14738,7631,10429,24,Car,Urban,Graduate,Female,Business,No
412,4967,5797,Salaried,,Married,3,697,4,0.58,1095,3017,33926,36,Home,Urban,Not Graduate,Male,Government,No
413,16527,9208,Contract,52,Single,3,779,0,0.21,5901,20725,38997,24,Business,,Graduate,Male,Private,Yes
414,18048,7099,Salaried,26,Single,2,731,1,0.51,8215,24762,33269,36,Personal,Rural,Graduate,Female,Business,No
415,19506,5109,Salaried,58,Married,0,574,4,0.2,12911,784,32704,36,Business,Urban,Graduate,,MNC,No
416,19955,6644,Salaried,37,Married,1,705,4,0.21,14123,28020,,24,Business,Urban,Graduate,Male,Business,Yes
417,7073,116,Self-employed,,Married,3,554,2,0.44,1079,38459,25187,84,Business,Urban,Graduate,Female,Government,No
418,7104,2433,Salaried,47,Married,1,669,3,0.3,12510,15765,3526,84,Car,Rural,Graduate,Male,Private,Yes
419,4143,5463,Self-employed,55,Single,3,,,0.57,19231,31127,25686,12,Car,Rural,Not Graduate,Male,Business,No
,9357,583,Unemployed,41,Single,3,567,1,0.14,18344,3196,8803,60,Personal,Rural,Graduate,Male,Private,No
421,14043,8586,Salaried,45,Single,0,724,4,0.36,1473,9552,33668,84,,Urban,Not Graduate,Male,Unemployed,Yes
422,5440,3788,Salaried,48,Single,3,747,2,0.56,4888,41300,7574,48,Car,Urban,Graduate,Male,,No
423,7644,4167,Salaried,35,Married,1,606,3,0.55,4979,49714,9733,24,Car,Urban,Graduate,Male,Private,No
424,12518,8465,Contract,24,Married,3,642,,0.18,1212,31921,8257,36,Car,Urban,Graduate,Female,Government,No
425,16552,1389,,49,Single,2,568,0,0.28,9001,4746,37051,24,Home,Urban,Graduate,Female,MNC,No
426,4914,8357,Salaried,29,,0,677,2,0.41,13248,2999,16909,60,Personal,,Graduate,Female,Private,No
427,15584,9759,Salaried,47,Single,0,646,1,0.18,419,44070,25146,72,Car,Rural,Not Graduate,Female,Government,No
428,14144,6154,Contract,46,Married,2,742,0,0.58,15608,49220,12802,84,Personal,Urban,Graduate,Male,Business,No
429,16397,5420,Salaried,39,Married,2,786,2,0.56,3659,15595,8896,84,Education,Urban,Graduate,Female,MNC,No
430,10787,8920,Contract,48,Single,2,680,1,0.18,5283,,29133,84,Home,Semiurban,Graduate,,Private,Yes
431,16191,2043,Unemployed,37,Married,3,719,1,0.16,10715,6200,14526,36,,Rural,Not Graduate,,Government,Yes
432,2728,4197,Salaried,40,Single,0,570,,0.14,16165,38164,12278,48,Home,Rural,Graduate,Male,Unemployed,No
433,19749,3496,Contract,59,Single,2,776,1,0.55,1340,23377,26551,48,Home,Semiurban,Graduate,Female,,No
434,2698,778,Salaried,43,Single,3,782,4,0.2,14805,13410,26298,84,Education,Urban,Graduate,Female,Business,No
435,9186,213,Contract,52,Single,2,,2,0.31,10584,45971,36338,,Personal,Rural,Not Graduate,Female,Unemployed,No
,16512,3762,Self-employed,53,Married,1,616,1,0.32,14780,3598,23191,72,Home,Rural,Graduate,Male,Government,No
437,15923,9768,Contract,25,Single,1,702,0,0.4,5137,10564,34092,84,Business,Urban,,Male,Government,No
438,18779,6731,Salaried,54,Married,0,676,0,0.14,17745,45516,24871,12,Education,Urban,Graduate,Male,Government,Yes
439,9400,3117,Salaried,31,Married,3,786,,0.21,591,30898,10721,36,Business,Urban,Not Graduate,Female,Private,Yes
440,6171,5791,Salaried,23,Single,1,779,2,0.57,526,49725,39413,72,Education,Urban,Graduate,Male,Government,No
441,6360,8783,Salaried,53,Married,1,786,1,,7855,20598,31279,36,Business,Urban,Not Graduate,Male,Government,No
442,4502,2720,Salaried,31,Married,3,604,,0.49,10695,40404,15404,84,Business,Urban,Graduate,Male,MNC,No
443,19101,8905,Salaried,36,Married,2,761,0,0.11,,17862,5486,72,Home,Urban,Graduate,Female,MNC,Yes
444,7486,9127,Salaried,38,Married,3,729,4,0.26,,10265,36198,84,Home,,Graduate,Male,Business,Yes
445,10335,6047,Salaried,50,Single,2,721,0,0.41,16571,9705,29687,72,Education,Urban,Not Graduate,Male,Private,No
446,6491,8032,Contract,30,Married,1,658,0,0.24,19142,25544,14156,84,Personal,Urban,Graduate,Female,Private,Yes
447,13130,,Salaried,38,Single,1,647,4,0.55,8625,14298,1567,12,Home,Urban,Not Graduate,Female,Private,No
448,9651,6368,Salaried,,Single,1,762,2,0.42,6431,32670,3179,36,Home,Rural,Graduate,Male,Business,No
449,3167,1949,Salaried,39,Single,0,733,1,0.14,15926,42471,3019,,Car,Urban,Not Graduate,Male,Private,Yes
450,3062,6732,Salaried,56,,0,732,2,0.55,11704,46104,16919,12,Home,Semiurban,Graduate,Female,Government,No
451,13174,7833,Unemployed,33,Single,0,661,3,0.58,437,40934,20703,24,Personal,Semiurban,Graduate,Male,Private,No
452,6729,917,Salaried,23,Married,3,764,3,0.14,10780,48884,19704,84,Car,Rural,Graduate,Female,MNC,Yes
453,11348,3174,Contract,30,Single,1,747,3,0.37,17216,6050,19030,60,Business,Rural,Graduate,Female,MNC,Yes
454,7334,7014,Unemployed,58,Married,1,664,4,0.25,8988,43952,4909,72,Business,Urban,Graduate,Male,Business,Yes
455,10924,89,Contract,21,Single,3,666,0,0.3,,21034,9015,48,Car,Urban,Graduate,Female,Private,Yes
456,6330,1709,Self-employed,47,Single,0,754,2,0.19,5794,45480,4420,12,,Semiurban,Graduate,Female,Government,Yes
457,8801,3041,Contract,28,Married,3,790,1,0.39,,8484,17740,12,Car,Urban,Graduate,Male,Private,Yes
458,6846,105,Unemployed,,,0,,3,0.58,16301,31323,,72,Education,Semiurban,Graduate,Male,Private,No
459,8731,9078,Self-employed,29,Single,1,750,2,0.35,684,20796,20465,12,Personal,Rural,Graduate,Female,Private,Yes
460,17368,8619,Self-employed,26,Married,2,630,3,,4233,,5131,24,Personal,Urban,Graduate,Male,Private,No
461,19337,1895,Self-employed,45,Single,0,615,3,0.41,16961,21827,11652,12,Business,Urban,Graduate,Female,Private,No
462,,6090,Self-employed,,Married,1,568,1,0.27,12997,35361,22507,60,Business,,Graduate,Female,Private,No
463,9056,8508,Self-employed,48,Married,1,760,4,0.53,8007,10315,24806,60,Business,Urban,Graduate,Male,Private,No
464,13516,,Salaried,53,,2,797,0,0.32,16611,47968,20171,84,Home,Urban,,Female,Business,Yes
465,13493,634,Salaried,57,,1,684,4,0.2,2328,26519,21593,84,Business,Rural,Not Graduate,Female,Unemployed,Yes
